id,S_id,S_name,S_cui_entrezid,S_semtypes,P_name,O_id,O_name,O_cui_entrezid,O_semtypes
D10068108.P3,D10068108.E17,Liver,,bpoc,PART_OF,D10068108.E14,Liver carcinoma,,neop
D10068108.P4,D10068108.E13,Stroma,,bpoc,PART_OF,D10068108.E14,Liver carcinoma,,neop
D10068108.P5,D10068108.E53,Collagen,,aapp,PART_OF,D10068108.E48,Stroma,,bpoc
D10068108.P6,D10068108.E47,Collagen,,aapp,PART_OF,D10068108.E48,Stroma,,bpoc
D10068108.P7,D10068108.E48,Stroma,,bpoc,PART_OF,D10068108.E49,Neoplasms,,neop
D10068108.P8,D10068108.E61,Stroma,,bpoc,PART_OF,D10068108.E60,Liver carcinoma,,neop
D10068108.P9,D10068108.E56,Cells,,cell,PRODUCES,D10068108.E58,Transcript,,nnon
D10068108.P10,D10068108.E75,Myofibroblasts,,cell,PART_OF,D10068108.E74,Liver,,bpoc
D10068108.P11,D10068108.E93,Stroma,,bpoc,LOCATION_OF,D10068108.E92,Collagen,,aapp
D10068108.P12,D10068108.E93,Stroma,,bpoc,PART_OF,D10068108.E94,Liver carcinoma,,neop
D10068108.P13,D10068108.E107,Stroma,,bpoc,PART_OF,D10068108.E106,Liver carcinoma,,neop
D10076051.P1,D10076051.E4,Liver carcinoma,,neop,PROCESS_OF,D10076051.E3,Homo sapiens,,humn
D10076051.P2,D10076051.E5,Interleukin-6,,gngm,PART_OF,D10076051.E4,Liver carcinoma,,neop
D10076051.P3,D10076051.E1,macrophage stimulating protein,,gngm,PART_OF,D10076051.E4,Liver carcinoma,,neop
D10076051.P4,D10076051.E10,Liver carcinoma,,neop,PROCESS_OF,D10076051.E9,Homo sapiens,,humn
D10076051.P5,D10076051.E26,Liver and Intrahepatic Biliary Tract Carcinoma,,neop,PROCESS_OF,D10076051.E25,Homo sapiens,,humn
D10076051.P6,D10076051.E24,Genes,,gngm,PART_OF,D10076051.E26,Liver and Intrahepatic Biliary Tract Carcinoma,,neop
D10076051.P7,D10076051.E41,"RNA, Messenger",,bacs,ASSOCIATED_WITH,D10076051.E42,Hepatoblastoma,,neop
D10076051.P8,D10076051.E55,"RNA, Messenger",,bacs,PART_OF,D10076051.E56,Hep G2 Cells,,cell
D10076051.P9,D10076051.E50,macrophage stimulating protein,,aapp,INTERACTS_WITH,D10076051.E48,cytokine,,aapp
D10081488.P1,D10081488.E2,multidrug resistance-associated protein 2,,aapp,ASSOCIATED_WITH,D10081488.E4,Neuroblastoma,,neop
D10081488.P2,D10081488.E2,multidrug resistance-associated protein 2,,aapp,ASSOCIATED_WITH,D10081488.E5,Malignant neoplasm of liver,,neop
D10081488.P3,D10081488.E1,Multidrug Resistance Associated Protein 1,,aapp,ASSOCIATED_WITH,D10081488.E4,Neuroblastoma,,neop
D10081488.P4,D10081488.E1,Multidrug Resistance Associated Protein 1,,aapp,ASSOCIATED_WITH,D10081488.E5,Malignant neoplasm of liver,,neop
D10081488.P5,D10081488.E9,Neuroblastoma,,neop,ISA,D10081488.E12,Malignant Childhood Neoplasm,,neop
D10081488.P6,D10081488.E17,Neoplasms,,neop,PROCESS_OF,D10081488.E16,Patients,,humn
D10081488.P7,D10081488.E21,multidrug resistance-associated protein 2,,bacs,PART_OF,D10081488.E27,Multidrug Resistance Associated Protein 1,,aapp
D10081488.P8,D10081488.E20,Multidrug Resistance Associated Protein 1,,bacs,PART_OF,D10081488.E28,multidrug resistance-associated protein 2,,aapp
D10081488.P9,D10081488.E32,N-myc Genes,,gngm,PART_OF,D10081488.E33,Neuroblastoma,,neop
D10081488.P10,D10081488.E36,MYCN gene,,gngm,PART_OF,D10081488.E37,Neuroblastoma,,neop
D10081488.P11,D10081488.E35,ABCC1 gene,,gngm,PART_OF,D10081488.E37,Neuroblastoma,,neop
D10081488.P12,D10081488.E44,MYCN gene,,gngm,STIMULATES,D10081488.E45,ABCC1 gene,,gngm
D10081488.P13,D10081488.E45,ABCC1 gene,,gngm,COEXISTS_WITH,D10081488.E46,MYCN gene,,gngm
D10081488.P14,D10081488.E49,multidrug resistance-associated protein 2,,gngm,PART_OF,D10081488.E51,Neuroblastoma,,neop
D10081488.P15,D10081488.E55,multidrug resistance-associated protein 2,,aapp,ASSOCIATED_WITH,D10081488.E56,childhood hepatocellular carcinoma,,neop
D10081488.P16,D10081488.E54,Multidrug Resistance Associated Protein 1,,aapp,ASSOCIATED_WITH,D10081488.E56,childhood hepatocellular carcinoma,,neop
D10189890.P1,D10189890.E2,WT-1,,gngm,PART_OF,D10189890.E3,solid tumor,,neop
D10189890.P2,D10189890.E7,WT-1,,gngm,ASSOCIATED_WITH,D10189890.E8,Neoplastic Cell Transformation,,neop
D10189890.P3,D10189890.E75,Cultured Cell Line,,cell,PRODUCES,D10189890.E87,PSMA1 gene,,aapp
D10189890.P4,D10189890.E75,Cultured Cell Line,,cell,PRODUCES,D10189890.E76,WT-1,,aapp
D10189890.P5,D10189890.E113,WT1 gene,,gngm,PART_OF,D10189890.E114,"Tumor cells, malignant",,cell
D10189890.P6,D10189890.E122,solid tumor,,neop,AFFECTS,D10189890.E121,Growth,,orgf
D10190313.P1,D10190313.E4,Genes,,gngm,COEXISTS_WITH,D10190313.E5,alpha-Fetoproteins,,aapp
D10190313.P2,D10190313.E21,FUSE gene,,aapp,TREATS,D10190313.E23,Liver carcinoma,,neop
D10190313.P3,D10190313.E30,DNA,,bacs,PART_OF,D10190313.E29,"Chromosomes, Human",,celc
D10190313.P4,D10190313.E57,Interferon Alfa-2b,,aapp,PART_OF,D10190313.E64,"Mice, Nude",,mamm
D10190313.P5,D10190313.E71,Regulatory DNA sequence,,nusq,INTERACTS_WITH,D10190313.E74,Cytokine Gene,,gngm
D10190313.P6,D10190313.E78,hepatoma cell,,cell,LOCATION_OF,D10190313.E74,Cytokine Gene,,aapp
D10190313.P7,D10190313.E82,Genes,,gngm,PRODUCES,D10190313.E84,,,aapp
D10190901.P1,D10190901.E6,Liver carcinoma,,neop,PROCESS_OF,D10190901.E5,Homo sapiens,,humn
D10190901.P2,D10190901.E4,Autoantigens,,imft,ASSOCIATED_WITH,D10190901.E6,Liver carcinoma,,neop
D10190901.P3,D10190901.E16,Liver carcinoma,,neop,PROCESS_OF,D10190901.E13,Patients,,humn
D10190901.P4,D10190901.E14,"Hepatitis, Chronic",,dsyn,PROCESS_OF,D10190901.E13,Patients,,humn
D10190901.P5,D10190901.E15,Liver Cirrhosis,,dsyn,PROCESS_OF,D10190901.E13,Patients,,humn
D10190901.P6,D10190901.E33,Antigens,,imft,PART_OF,D10190901.E32,Unidentified cell,,cell
D10190901.P7,D10190901.E40,Open Reading Frames,,gngm,PART_OF,D10190901.E39,Clone,,tisu
D10190901.P8,D10190901.E49,RNA Recognition Motif,,gngm,PART_OF,D10190901.E48,Consensus Sequence,,nusq
D10190901.P9,D10190901.E67,RNA Recognition Motif,,gngm,PART_OF,D10190901.E66,Consensus Sequence,,nusq
D10190901.P10,D10190901.E96,GTF3A gene,,gngm,PART_OF,D10190901.E95,Xenopus laevis,,amph
D10190901.P11,D10190901.E76,Homologous Protein,,gngm,PART_OF,D10190901.E80,Malignant Neoplasms,,neop
D10190901.P12,D10190901.E84,Proteins,,aapp,INTERACTS_WITH,D10190901.E85,Nucleotides,,nnon
D10190901.P13,D10190901.E91,Proteins,,aapp,INTERACTS_WITH,D10190901.E85,Nucleotides,,nnon
D10190901.P14,D10190901.E84,Proteins,,aapp,INTERACTS_WITH,D10190901.E93,,,aapp
D10190901.P15,D10190901.E91,Proteins,,aapp,INTERACTS_WITH,D10190901.E93,,,aapp
D10190901.P16,D10190901.E104,Liver carcinoma,,neop,PROCESS_OF,D10190901.E105,Patients,,humn
D10190901.P17,D10190901.E107,"Hepatitis, Chronic",,dsyn,PROCESS_OF,D10190901.E106,Patients,,humn
D10190901.P18,D10190901.E108,Liver Cirrhosis,,dsyn,PROCESS_OF,D10190901.E106,Patients,,humn
D10190901.P19,D10190901.E114,Autoantibodies,,gngm,CAUSES,D10190901.E118,"Transformation, function",,phsf
D10200348.P1,D10200348.E3,WT-1,,gngm,PART_OF,D10200348.E2,Rattus norvegicus,,mamm
D10200348.P2,D10200348.E3,WT-1,,gngm,INHIBITS,D10200348.E7,Mediator brand of benfluorex hydrochloride,,orch
D10200348.P3,D10200348.E18,"Cell Line, Tumor",,cell,PART_OF,D10200348.E17,Rat Liver,,bpoc
D10200348.P4,D10200348.E38,"Cell Line, Tumor",,cell,PART_OF,D10200348.E37,Rat Liver,,bpoc
D10200348.P5,D10200348.E38,"Cell Line, Tumor",,cell,PRODUCES,D10200348.E42,Proteins,,aapp
D10200348.P6,D10200348.E38,"Cell Line, Tumor",,cell,PRODUCES,D10200348.E40,TP53 gene,,aapp
D10200348.P7,D10200348.E45,MYC gene,,gngm,PRODUCES,D10200348.E49,WT-1,,aapp
D10200348.P8,D10200348.E46,TGFA gene,,gngm,PRODUCES,D10200348.E49,WT-1,,aapp
D10200348.P9,D10200348.E44,HRAS wt Allele,,gngm,PRODUCES,D10200348.E49,WT-1,,aapp
D10200348.P10,D10200348.E54,,,gngm,DISRUPTS,D10200348.E52,Tumorigenicity,,patf
D10200348.P11,D10200348.E81,Epithelial Cells,,cell,PART_OF,D10200348.E80,Rat Liver,,bpoc
D10200348.P12,D10200348.E90,hybrid cell line,,cell,LOCATION_OF,D10200348.E85,WT-1,,aapp
D10200348.P13,D10200348.E76,hybrid cell line,,cell,PRODUCES,D10200348.E79,Proteins,,aapp
D10200348.P14,D10200348.E76,hybrid cell line,,cell,PRODUCES,D10200348.E87,Proteins,,aapp
D10200348.P15,D10200348.E76,hybrid cell line,,cell,PRODUCES,D10200348.E77,WT-1,,aapp
D10200348.P16,D10200348.E97,WT1 gene,,gngm,PART_OF,D10200348.E96,Homo sapiens,,humn
D10200348.P17,D10200348.E100,Rattus norvegicus,,mamm,LOCATION_OF,D10200348.E98,WT-1,,aapp
D10200348.P18,D10200348.E97,WT1 gene,,gngm,PART_OF,D10200348.E94,hybrid cell line,,cell
D10200348.P19,D10200348.E112,Epithelial Cells,,cell,PART_OF,D10200348.E111,Rat Liver,,bpoc
D10200348.P20,D10200348.E106,WT-1,,gngm,PART_OF,D10200348.E109,hybrid cell line,,cell
D10200348.P21,D10200348.E128,WT-1,,gngm,PART_OF,D10200348.E129,Cultured Cell Line,,cell
D10200348.P22,D10200348.E139,WT-1,,gngm,PART_OF,D10200348.E138,Rattus norvegicus,,mamm
D10201372.P1,D10201372.E4,Cells,,cell,LOCATION_OF,D10201372.E2,Cyclin D1,,aapp
D10201372.P2,D10201372.E1,CTNNB1 gene,,gngm,INTERACTS_WITH,D10201372.E2,Cyclin D1,,gngm
D10201372.P3,D10201372.E9,Malignant tumor of colon,,neop,PROCESS_OF,D10201372.E8,Homo sapiens,,humn
D10201372.P4,D10201372.E6,APC gene,,gngm,ASSOCIATED_WITH,D10201372.E9,Malignant tumor of colon,,neop
D10201372.P5,D10201372.E6,APC gene,,gngm,ISA,D10201372.E7,Tumor Suppressor Genes,,gngm
D10201372.P6,D10201372.E7,Tumor Suppressor Genes,,gngm,ASSOCIATED_WITH,D10201372.E9,Malignant tumor of colon,,neop
D10201372.P7,D10201372.E16,CTNNB1 gene,,gngm,ASSOCIATED_WITH,D10201372.E17,Malignant tumor of colon,,neop
D10201372.P8,D10201372.E19,APC gene,,gngm,ASSOCIATED_WITH,D10201372.E21,Medulloblastoma,,neop
D10201372.P9,D10201372.E19,APC gene,,gngm,ASSOCIATED_WITH,D10201372.E20,melanoma,,neop
D10201372.P10,D10201372.E19,APC gene,,gngm,ASSOCIATED_WITH,D10201372.E22,Malignant neoplasm of prostate,,neop
D10201372.P11,D10201372.E19,APC gene,,gngm,ASSOCIATED_WITH,D10201372.E24,Liver carcinoma,,neop
D10201372.P12,D10201372.E31,CTNNB1 gene,,gngm,PART_OF,D10201372.E30,Family,,humn
D10201372.P13,D10201372.E25,CTNNB1 gene,,gngm,STIMULATES,D10201372.E26,Genes,,gngm
D10201372.P14,D10201372.E28,TRANSCRIPTION FACTOR,,aapp,PART_OF,D10201372.E30,Family,,humn
D10201372.P15,D10201372.E32,CTNNB1 gene,,gngm,AUGMENTS,D10201372.E33,"Transcription, Genetic",,genf
D10201372.P16,D10201372.E37,promoter,,bacs,COEXISTS_WITH,D10201372.E40,Binding Sites,,rcpt
D10201372.P17,D10201372.E42,HRAS gene,,gngm,STIMULATES,D10201372.E45,"Genes, bcl-1",,gngm
D10201372.P18,D10201372.E50,Cells,,cell,PRODUCES,D10201372.E56,Proteins,,aapp
D10201372.P19,D10201372.E50,Cells,,cell,PRODUCES,D10201372.E54,Cyclin D1,,aapp
D10201372.P20,D10201372.E61,"Tumor cells, malignant",,cell,PART_OF,D10201372.E60,Entire colon,,bpoc
D10201372.P21,D10201372.E62,Cyclin D1,,bacs,PART_OF,D10201372.E65,CCNE1 gene,,aapp
D10201372.P22,D10201372.E62,Cyclin D1,,bacs,PART_OF,D10201372.E66,CDK2 gene,,aapp
D10201372.P23,D10201372.E62,Cyclin D1,,bacs,PART_OF,D10201372.E64,CCND2 gene,,aapp
D10201372.P24,D10201372.E59,,,gngm,PART_OF,D10201372.E61,"Tumor cells, malignant",,cell
D10201372.P25,D10201372.E77,CTNNB1 gene,,gngm,PREDISPOSES,D10201372.E78,Neoplastic Cell Transformation,,neop
D10208429.P1,D10208429.E2,EIF1 gene,,gngm,INTERACTS_WITH,D10208429.E4,Hepatitis B Antigens,,imft
D10208429.P2,D10208429.E4,Hepatitis B Antigens,,imft,ASSOCIATED_WITH,D10208429.E5,Hepatocarcinogenesis,,neop
D10208429.P3,D10208429.E16,Cells,,cell,LOCATION_OF,D10208429.E6,hepatitis B virus X protein,,aapp
D10208429.P4,D10208429.E8,Liver carcinoma,,neop,PROCESS_OF,D10208429.E13,Gene Expression,,genf
D10208429.P5,D10208429.E21,Homologous Gene,,gngm,PART_OF,D10208429.E20,Homo sapiens,,humn
D10208429.P6,D10208429.E26,Hep G2 Cells,,cell,LOCATION_OF,D10208429.E22,EIF1 gene,,aapp
D10208429.P7,D10208429.E25,Antigens,,imft,INHIBITS,D10208429.E24,Peptide Initiation Factors,,gngm
D10208429.P8,D10208429.E27,EIF1 gene,,gngm,PART_OF,D10208429.E28,Liver,,bpoc
D10208429.P9,D10208429.E32,Liver carcinoma,,neop,PROCESS_OF,D10208429.E31,Patients,,humn
D10208429.P10,D10208429.E34,EIF1 gene,,gngm,DISRUPTS,D10208429.E36,cell growth,,celf
D10208429.P11,D10208429.E39,Agar,,orch,DISRUPTS,D10208429.E40,Neoplasms,,neop
D10208429.P12,D10208429.E40,Neoplasms,,neop,PROCESS_OF,D10208429.E42,"Mice, Nude",,mamm
D10208429.P13,D10208429.E44,Antigens,,imft,INHIBITS,D10208429.E43,EIF1 gene,,gngm
D10209305.P1,D10209305.E7,Cytotoxic Chemotherapy,,topp,ISA,D10209305.E9,Therapeutic procedure,,topp
D10209305.P2,D10209305.E7,Cytotoxic Chemotherapy,,topp,TREATS,D10209305.E10,Liver carcinoma,,neop
D10209305.P3,D10209305.E15,Signal Transduction Pathways,,moft,AFFECTS,D10209305.E16,Growth,,orgf
D10209305.P4,D10209305.E20,Cyclic AMP,,phsu,CAUSES,D10209305.E28,Apoptosis,,celf
D10209305.P5,D10209305.E20,Cyclic AMP,,phsu,CAUSES,D10209305.E22,growth regulator,,celf
D10209305.P6,D10209305.E41,8-Bromo Cyclic Adenosine Monophosphate,,nnon,INTERACTS_WITH,D10209305.E43,Level,,phsu
D10209305.P7,D10209305.E42,Bucladesine,,nnon,INTERACTS_WITH,D10209305.E43,Level,,phsu
D10209305.P8,D10209305.E51,Cyclic AMP,,bacs,AUGMENTS,D10209305.E54,Down-Regulation,,moft
D10209305.P9,D10209305.E51,Cyclic AMP,,bacs,AUGMENTS,D10209305.E59,cyclin-dependent kinase activity,,moft
D10209305.P10,D10209305.E56,Proteins,,aapp,INHIBITS,D10209305.E55,Proliferating Cell Nuclear Antigen,,aapp
D10209305.P11,D10209305.E64,Pathogenesis,,patf,ASSOCIATED_WITH,D10209305.E62,Proliferating Cell Nuclear Antigen,,gngm
D10210639.P1,D10210639.E1,"INSR protein, human",,aapp,ASSOCIATED_WITH,D10210639.E4,Liver diseases,,dsyn
D10210639.P2,D10210639.E12,adapter protein,,aapp,PART_OF,D10210639.E11,Protoplasm,,celc
D10210639.P3,D10210639.E13,IRS1 gene,,gngm,STIMULATES,D10210639.E12,adapter protein,,gngm
D10210639.P4,D10210639.E28,Liver normal,,fndg,PROCESS_OF,D10210639.E27,Homo sapiens,,humn
D10210639.P5,D10210639.E36,Assay,,lbpr,USES,D10210639.E39,DNA Probes,,irda
D10210639.P6,D10210639.E43,Immunoblotting,,lbpr,METHOD_OF,D10210639.E42,"Protein concentration, test strip measurement",,lbpr
D10210639.P7,D10210639.E59,Body tissue,,tisu,LOCATION_OF,D10210639.E57,Insulin Receptor,,aapp
D10210639.P8,D10210639.E63,"Protein concentration, test strip measurement",,lbpr,USES,D10210639.E62,Insulin Receptor,,aapp
D10210639.P9,D10210639.E63,"Protein concentration, test strip measurement",,lbpr,DIAGNOSES,D10210639.E65,Liver carcinoma,,neop
D10210639.P10,D10210639.E67,IRS1 gene,,gngm,AUGMENTS,D10210639.E68,Cirrhosis,,dsyn
D10210639.P11,D10210639.E74,Insulin Receptor,,aapp,INTERACTS_WITH,D10210639.E84,Binding Sites,,rcpt
D10210639.P12,D10210639.E87,insulin receptor substrate 1 protein,,aapp,ASSOCIATED_WITH,D10210639.E89,Liver carcinoma,,neop
D10210639.P13,D10210639.E90,IRS1 gene,,gngm,AUGMENTS,D10210639.E92,Cirrhosis,,dsyn
D10212000.P1,D10212000.E5,PROC wt Allele,,gngm,ASSOCIATED_WITH,D10212000.E6,Intrahepatic Cholangiocarcinoma,,neop
D10212000.P2,D10212000.E11,Carcinogenicity,,neop,MANIFESTATION_OF,D10212000.E12,Intrahepatic Cholangiocarcinoma,,neop
D10212000.P3,D10212000.E10,Liver,,bpoc,LOCATION_OF,D10212000.E9,"Neoplasms, Second Primary",,neop
D10212000.P4,D10212000.E67,Intrahepatic Cholangiocarcinoma,,neop,ISA,D10212000.E63,Neoplasms,,neop
D10212000.P5,D10212000.E64,TP53 gene,,gngm,ASSOCIATED_WITH,D10212000.E67,Intrahepatic Cholangiocarcinoma,,neop
D10212000.P6,D10212000.E63,Neoplasms,,neop,OCCURS_IN,D10212000.E73,Intrahepatic Cholangiocarcinoma,,neop
D10212000.P7,D10212000.E79,TP53 gene,,aapp,AFFECTS,D10212000.E82,Growth pattern,,fndg
D10223233.P1,D10223233.E1,Transcriptional Activation,,genf,PROCESS_OF,D10223233.E5,Homo sapiens,,humn
D10223233.P2,D10223233.E4,Berberine,,orch,STIMULATES,D10223233.E3,Membrane Transport Proteins,,gngm
D10223233.P3,D10223233.E6,Murine,,orch,STIMULATES,D10223233.E3,Membrane Transport Proteins,,gngm
D10223233.P4,D10223233.E13,Coptis chinensis,,plnt,LOCATION_OF,D10223233.E12,Alkaloids,,orch
D10223233.P5,D10223233.E12,Alkaloids,,orch,TREATS,D10223233.E16,Inflammation,,patf
D10223233.P6,D10223233.E19,Chinese herbal medicine,,topp,USES,D10223233.E21,Pharmaceutical Preparations,,phsu
D10223233.P7,D10223233.E29,alpha-Fetoproteins,,aapp,PART_OF,D10223233.E32,Hep G2 Cells,,cell
D10223233.P8,D10223233.E34,Membrane Transport Proteins,,aapp,PART_OF,D10223233.E36,Hep G2 Cells,,cell
D10223233.P9,D10223233.E47,Berberine,,phsu,TREATS,D10223233.E44,Homo sapiens,,humn
D10223233.P10,D10223233.E58,hepatoma cell,,cell,LOCATION_OF,D10223233.E53,Rhodamine 123,,orch
D10223233.P11,D10223233.E64,human cell line,,cell,LOCATION_OF,D10223233.E60,Berberine,,orch
D10223233.P12,D10223233.E71,Rhodamine 123,,orch,DISRUPTS,D10223233.E74,hepatoma cell,,cell
D10223233.P13,D10223233.E79,hepatoma cell,,cell,LOCATION_OF,D10223233.E76,Berberine,,orch
D10223233.P14,D10223233.E81,Therapeutic procedure,,topp,USES,D10223233.E83,Berberine,,phsu
D10232599.P1,D10232599.E2,Alpha 1,,aapp,PART_OF,D10232599.E1,Homo sapiens,,humn
D10232599.P2,D10232599.E10,Cells,,cell,LOCATION_OF,D10232599.E8,Secondary malignant neoplasm of liver,,neop
D10232599.P3,D10232599.E4,DNA Sequence,,nusq,DISRUPTS,D10232599.E7,Tissue Adhesions,,patf
D10232599.P4,D10232599.E4,DNA Sequence,,nusq,DISRUPTS,D10232599.E8,Secondary malignant neoplasm of liver,,neop
D10232599.P5,D10232599.E22,CA-19-9 Antigen,,imft,ASSOCIATED_WITH,D10232599.E25,Adenocarcinoma,,neop
D10232599.P6,D10232599.E22,CA-19-9 Antigen,,imft,ISA,D10232599.E23,Antigens,,imft
D10232599.P7,D10232599.E18,Selectins,,aapp,ASSOCIATED_WITH,D10232599.E25,Adenocarcinoma,,neop
D10232599.P8,D10232599.E18,Selectins,,aapp,ISA,D10232599.E23,Antigens,,imft
D10232599.P9,D10232599.E23,Antigens,,imft,ASSOCIATED_WITH,D10232599.E25,Adenocarcinoma,,neop
D10232599.P10,D10232599.E29,Polysaccharides,,orch,INHIBITS,D10232599.E31,Alpha 1,,gngm
D10232599.P11,D10232599.E47,Alpha 1,,aapp,PART_OF,D10232599.E46,"Lewis, Rat Strain",,mamm
D10232599.P12,D10232599.E44,DNA Sequence,,nusq,DISRUPTS,D10232599.E42,Cell Adhesion,,celf
D10232599.P13,D10232599.E64,Spleen,,bpoc,PART_OF,D10232599.E65,"Mice, Nude",,mamm
D10232599.P14,D10232599.E75,DNA Sequence,,nusq,DISRUPTS,D10232599.E73,Secondary carcinoma,,neop
D10232599.P15,D10232599.E77,Fucosyltransferase,,aapp,INTERACTS_WITH,D10232599.E79,Selectins,,aapp
D10232614.P1,D10232614.E1,Glycoprotein 6-alpha-L-fucosyltransferase,,aapp,PART_OF,D10232614.E2,hepatoma cell,,cell
D10232614.P2,D10232614.E12,Glycoprotein 6-alpha-L-fucosyltransferase,,aapp,INTERACTS_WITH,D10232614.E13,Fucose,,orch
D10232614.P3,D10232614.E13,Fucose,,orch,COEXISTS_WITH,D10232614.E14,Polysaccharides,,orch
D10232614.P4,D10232614.E20,Liver neoplasms,,neop,PROCESS_OF,D10232614.E19,Homo sapiens,,humn
D10232614.P5,D10232614.E18,Hepatocarcinogenesis,,neop,PROCESS_OF,D10232614.E17,Rattus norvegicus,,mamm
D10232614.P6,D10232614.E15,Glycoprotein 6-alpha-L-fucosyltransferase,,aapp,AUGMENTS,D10232614.E20,Liver neoplasms,,neop
